timestamp,zone_id,zone_name,crowd_density,avg_wait_time_sec,entry_flow_rate_per_min,exit_flow_rate_per_min,incident_flag,staff_required,temperature_c
2026-04-17 16:37:00,Z03,South Gate,0.75,324,277,172,0,7,25
2026-04-17 16:37:30,Z04,East Gate,0.41,195,223,29,0,19,33
2026-04-17 16:38:00,Z05,West Gate,0.8,570,28,166,0,18,30
2026-04-17 16:38:30,Z06,Food Court A,0.72,988,89,107,0,13,34
2026-04-17 16:39:00,Z07,Food Court B,0.54,145,91,65,0,4,29
2026-04-17 16:39:30,Z08,Restroom Block 1,0.67,76,187,18,0,12,22
2026-04-17 16:40:00,Z09,Restroom Block 2,0.85,559,37,200,1,15,28
2026-04-17 16:40:30,Z10,Seating Section A,0.74,1004,66,58,0,2,22
2026-04-17 16:41:00,Z11,Seating Section B,0.64,645,148,176,0,5,23
2026-04-17 16:41:30,Z12,VIP Lounge,0.96,668,208,141,0,23,28
2026-04-17 16:42:00,Z01,Main Entrance,0.75,920,201,212,0,17,31
2026-04-17 16:42:30,Z02,North Gate,0.87,331,47,96,0,4,32
2026-04-17 16:43:00,Z03,South Gate,0.72,176,214,150,0,4,27
2026-04-17 16:43:30,Z04,East Gate,0.44,296,153,23,0,18,23
2026-04-17 16:44:00,Z05,West Gate,0.4,709,149,112,0,14,22
2026-04-17 16:44:30,Z06,Food Court A,0.36,511,186,90,0,17,24
2026-04-17 16:45:00,Z07,Food Court B,0.61,393,48,20,0,7,22
2026-04-17 16:45:30,Z08,Restroom Block 1,0.62,588,26,164,0,19,30
2026-04-17 16:46:00,Z09,Restroom Block 2,0.84,115,85,36,0,14,33
2026-04-17 16:46:30,Z10,Seating Section A,0.62,114,121,143,0,9,24
2026-04-17 16:47:00,Z11,Seating Section B,0.83,678,161,100,0,22,31
2026-04-17 16:47:30,Z12,VIP Lounge,0.58,1131,262,209,0,23,29
2026-04-17 16:48:00,Z01,Main Entrance,0.51,1152,107,28,0,9,23
2026-04-17 16:48:30,Z02,North Gate,0.61,367,247,145,0,9,28
2026-04-17 16:49:00,Z03,South Gate,0.57,42,293,99,0,24,26
2026-04-17 16:49:30,Z04,East Gate,0.62,936,168,198,0,4,35
2026-04-17 16:50:00,Z05,West Gate,0.39,198,81,152,0,3,30
2026-04-17 16:50:30,Z06,Food Court A,0.51,1148,254,55,0,10,24
2026-04-17 16:51:00,Z07,Food Court B,0.94,716,47,78,1,5,34
2026-04-17 16:51:30,Z08,Restroom Block 1,0.75,1082,90,42,0,10,28
2026-04-17 16:52:00,Z09,Restroom Block 2,0.49,470,81,229,0,13,24
2026-04-17 16:52:30,Z10,Seating Section A,0.73,170,164,235,0,24,29
2026-04-17 16:53:00,Z11,Seating Section B,0.64,776,118,52,0,23,27
2026-04-17 16:53:30,Z12,VIP Lounge,0.57,23,118,134,0,2,34
2026-04-17 16:54:00,Z01,Main Entrance,0.76,1093,184,40,0,17,32
2026-04-17 16:54:30,Z02,North Gate,0.87,230,79,170,0,8,29
2026-04-17 16:55:00,Z03,South Gate,0.37,264,36,189,0,10,22
2026-04-17 16:55:30,Z04,East Gate,0.41,763,223,220,0,5,30
2026-04-17 16:56:00,Z05,West Gate,0.82,974,273,182,0,14,23
2026-04-17 16:56:30,Z06,Food Court A,0.98,1006,276,48,0,8,31
2026-04-17 16:57:00,Z07,Food Court B,0.83,540,99,52,0,12,24
2026-04-17 16:57:30,Z08,Restroom Block 1,0.43,617,218,8,0,15,23
2026-04-17 16:58:00,Z09,Restroom Block 2,0.61,818,248,213,0,4,24
2026-04-17 16:58:30,Z10,Seating Section A,0.96,673,215,59,0,21,28
2026-04-17 16:59:00,Z11,Seating Section B,0.5,1094,103,229,0,8,31
2026-04-17 16:59:30,Z12,VIP Lounge,0.76,115,158,212,0,2,34
2026-04-17 17:00:00,Z01,Main Entrance,0.95,325,154,84,0,18,22
2026-04-17 17:00:30,Z02,North Gate,0.59,629,106,58,0,2,32
2026-04-17 17:01:00,Z03,South Gate,0.56,736,77,5,0,4,34
2026-04-17 17:01:30,Z04,East Gate,0.48,1051,24,12,0,11,22
2026-04-17 17:02:00,Z05,West Gate,0.79,345,227,128,0,13,33
2026-04-17 17:02:30,Z06,Food Court A,0.95,941,158,220,0,17,31
2026-04-17 17:03:00,Z07,Food Court B,0.76,331,175,89,0,20,35
2026-04-17 17:03:30,Z08,Restroom Block 1,0.74,909,226,128,0,18,35
2026-04-17 17:04:00,Z09,Restroom Block 2,0.46,290,31,198,0,8,30
2026-04-17 17:04:30,Z10,Seating Section A,0.72,976,266,103,0,19,31
2026-04-17 17:05:00,Z11,Seating Section B,0.95,236,27,200,0,3,25
2026-04-17 17:05:30,Z12,VIP Lounge,0.38,1115,177,20,0,4,33
2026-04-17 17:06:00,Z01,Main Entrance,0.37,587,262,50,0,11,35
2026-04-17 17:06:30,Z02,North Gate,0.78,829,87,165,0,13,33
2026-04-17 17:07:00,Z03,South Gate,0.38,52,217,92,0,9,32
2026-04-17 17:07:30,Z04,East Gate,0.73,850,268,201,0,22,33
2026-04-17 17:08:00,Z05,West Gate,0.52,51,127,15,0,17,28
2026-04-17 17:08:30,Z06,Food Court A,0.55,117,203,92,0,21,24
2026-04-17 17:09:00,Z07,Food Court B,0.76,1167,41,148,0,6,34
2026-04-17 17:09:30,Z08,Restroom Block 1,0.72,307,236,45,0,3,22
2026-04-17 17:10:00,Z09,Restroom Block 2,0.63,1194,169,95,0,14,33
2026-04-17 17:10:30,Z10,Seating Section A,0.58,605,129,159,0,21,35
2026-04-17 17:11:00,Z11,Seating Section B,0.84,616,76,145,0,24,30
2026-04-17 17:11:30,Z12,VIP Lounge,0.82,84,246,117,0,11,33
2026-04-17 17:12:00,Z01,Main Entrance,0.85,939,208,53,0,20,35
2026-04-17 17:12:30,Z02,North Gate,0.74,952,44,220,0,13,26
2026-04-17 17:13:00,Z03,South Gate,0.48,1069,167,203,0,5,25
2026-04-17 17:13:30,Z04,East Gate,0.36,737,48,181,0,19,22
2026-04-17 17:14:00,Z05,West Gate,0.96,1046,28,236,0,14,22
2026-04-17 17:14:30,Z06,Food Court A,0.84,869,188,80,0,2,32
2026-04-17 17:15:00,Z07,Food Court B,0.86,500,265,31,0,8,22
2026-04-17 17:15:30,Z08,Restroom Block 1,0.44,1104,133,89,0,23,23
2026-04-17 17:16:00,Z09,Restroom Block 2,0.5,1131,113,46,0,3,32
2026-04-17 17:16:30,Z10,Seating Section A,0.78,297,282,113,0,18,32
2026-04-17 17:17:00,Z11,Seating Section B,0.84,900,108,165,0,24,35
2026-04-17 17:17:30,Z12,VIP Lounge,0.84,705,95,43,0,21,27
2026-04-17 17:18:00,Z01,Main Entrance,0.51,703,85,248,0,6,27
2026-04-17 17:18:30,Z02,North Gate,0.87,539,50,91,1,4,27
2026-04-17 17:19:00,Z03,South Gate,0.71,1060,192,209,0,12,33
2026-04-17 17:19:30,Z04,East Gate,0.37,63,211,163,0,15,35
2026-04-17 17:20:00,Z05,West Gate,0.59,107,66,101,0,6,33
2026-04-17 17:20:30,Z06,Food Court A,0.84,238,46,73,0,7,25
2026-04-17 17:21:00,Z07,Food Court B,0.5,887,18,139,0,18,28
2026-04-17 17:21:30,Z08,Restroom Block 1,0.54,823,288,184,0,15,33
2026-04-17 17:22:00,Z09,Restroom Block 2,0.35,1119,44,35,0,23,31
2026-04-17 17:22:30,Z10,Seating Section A,0.86,540,100,150,0,21,30
2026-04-17 17:23:00,Z11,Seating Section B,0.79,1107,183,125,1,21,26
2026-04-17 17:23:30,Z12,VIP Lounge,0.69,297,243,204,0,16,34
2026-04-17 17:24:00,Z01,Main Entrance,0.67,1099,213,61,0,15,31
2026-04-17 17:24:30,Z02,North Gate,0.57,724,168,107,0,4,28
2026-04-17 17:25:00,Z03,South Gate,0.77,948,256,66,0,19,28
2026-04-17 17:25:30,Z04,East Gate,0.64,877,88,139,0,9,32
2026-04-17 17:26:00,Z05,West Gate,0.77,870,173,44,0,5,32
2026-04-17 17:26:30,Z06,Food Court A,0.61,279,165,176,0,11,30
2026-04-17 17:27:00,Z07,Food Court B,0.73,892,288,55,0,20,28
2026-04-17 17:27:30,Z08,Restroom Block 1,0.36,508,203,247,0,10,23
2026-04-17 17:28:00,Z09,Restroom Block 2,0.97,910,289,29,0,21,26
2026-04-17 17:28:30,Z10,Seating Section A,0.76,627,88,203,0,21,22
2026-04-17 17:29:00,Z11,Seating Section B,0.46,25,13,179,0,10,26
2026-04-17 17:29:30,Z12,VIP Lounge,0.98,784,160,179,0,8,29
2026-04-17 17:30:00,Z01,Main Entrance,0.67,826,137,94,0,17,25
2026-04-17 17:30:30,Z02,North Gate,0.38,172,173,63,0,15,33
2026-04-17 17:31:00,Z03,South Gate,0.76,1065,37,137,0,16,29
2026-04-17 17:31:30,Z04,East Gate,0.38,32,18,230,0,20,34
2026-04-17 17:32:00,Z05,West Gate,0.43,1103,273,225,0,24,32
2026-04-17 17:32:30,Z06,Food Court A,0.64,306,48,183,0,15,25
2026-04-17 17:33:00,Z07,Food Court B,0.54,206,145,177,0,2,23
2026-04-17 17:33:30,Z08,Restroom Block 1,0.61,682,277,206,0,21,30
2026-04-17 17:34:00,Z09,Restroom Block 2,0.94,626,295,219,0,17,22
2026-04-17 17:34:30,Z10,Seating Section A,0.82,731,51,96,0,3,34
2026-04-17 17:35:00,Z11,Seating Section B,0.46,374,172,212,0,20,26
2026-04-17 17:35:30,Z12,VIP Lounge,0.92,984,175,228,0,24,30
2026-04-17 17:36:00,Z01,Main Entrance,0.9,674,117,223,0,8,25
2026-04-17 17:36:30,Z02,North Gate,0.41,473,267,109,0,15,27
2026-04-17 17:37:00,Z03,South Gate,0.75,57,160,14,1,22,31
2026-04-17 17:37:30,Z04,East Gate,0.96,475,284,91,0,13,30
2026-04-17 17:38:00,Z05,West Gate,0.48,639,210,175,0,17,33
2026-04-17 17:38:30,Z06,Food Court A,0.5,400,249,160,0,17,23
2026-04-17 17:39:00,Z07,Food Court B,0.71,1028,219,57,0,5,25
2026-04-17 17:39:30,Z08,Restroom Block 1,0.5,287,259,45,0,6,24
2026-04-17 17:40:00,Z09,Restroom Block 2,0.6,1180,293,184,0,14,28
2026-04-17 17:40:30,Z10,Seating Section A,0.5,719,122,220,0,3,35
2026-04-17 17:41:00,Z11,Seating Section B,0.47,497,67,222,1,17,31
2026-04-17 17:41:30,Z12,VIP Lounge,0.85,653,255,161,0,12,26
2026-04-17 17:42:00,Z01,Main Entrance,0.37,726,154,109,0,14,26
2026-04-17 17:42:30,Z02,North Gate,0.73,219,94,231,0,22,23
2026-04-17 17:43:00,Z03,South Gate,0.36,794,247,91,0,24,30
2026-04-17 17:43:30,Z04,East Gate,0.81,471,269,225,0,3,23
2026-04-17 17:44:00,Z05,West Gate,0.54,552,122,7,0,4,35
2026-04-17 17:44:30,Z06,Food Court A,0.54,469,257,124,0,17,30
2026-04-17 17:45:00,Z07,Food Court B,0.58,688,167,133,1,21,22
2026-04-17 17:45:30,Z08,Restroom Block 1,0.92,999,151,170,0,11,24
2026-04-17 17:46:00,Z09,Restroom Block 2,0.37,661,167,64,0,20,32
2026-04-17 17:46:30,Z10,Seating Section A,0.36,316,223,105,0,5,26
2026-04-17 17:47:00,Z11,Seating Section B,0.6,188,56,154,0,23,26
2026-04-17 17:47:30,Z12,VIP Lounge,0.43,315,295,85,0,11,32
2026-04-17 17:48:00,Z01,Main Entrance,0.73,969,155,38,0,23,23
2026-04-17 17:48:30,Z02,North Gate,0.36,926,63,58,0,2,24
2026-04-17 17:49:00,Z03,South Gate,0.48,57,159,160,0,5,25
2026-04-17 17:49:30,Z04,East Gate,0.97,151,72,193,0,21,26
2026-04-17 17:50:00,Z05,West Gate,0.97,1069,254,201,0,4,28
2026-04-17 17:50:30,Z06,Food Court A,0.53,1016,288,249,0,6,32
2026-04-17 17:51:00,Z07,Food Court B,0.89,564,242,93,0,12,35
2026-04-17 17:51:30,Z08,Restroom Block 1,0.46,1042,71,133,0,12,27
2026-04-17 17:52:00,Z09,Restroom Block 2,0.62,995,53,157,0,19,29
2026-04-17 17:52:30,Z10,Seating Section A,0.43,1010,152,188,0,9,35
2026-04-17 17:53:00,Z11,Seating Section B,0.91,642,83,67,0,19,25
2026-04-17 17:53:30,Z12,VIP Lounge,0.92,965,99,16,0,17,28
2026-04-17 17:54:00,Z01,Main Entrance,0.82,996,192,47,0,6,26
2026-04-17 17:54:30,Z02,North Gate,0.91,1020,116,128,0,3,25
2026-04-17 17:55:00,Z03,South Gate,0.62,995,115,9,0,4,29
2026-04-17 17:55:30,Z04,East Gate,0.8,214,88,70,0,8,25
2026-04-17 17:56:00,Z05,West Gate,0.82,653,90,34,0,2,34
2026-04-17 17:56:30,Z06,Food Court A,0.4,743,17,226,0,16,28
2026-04-17 17:57:00,Z07,Food Court B,0.79,1043,185,166,0,18,33
2026-04-17 17:57:30,Z08,Restroom Block 1,0.55,326,205,46,0,6,27
2026-04-17 17:58:00,Z09,Restroom Block 2,0.42,338,287,38,0,7,22
2026-04-17 17:58:30,Z10,Seating Section A,0.76,348,244,205,0,6,27
2026-04-17 17:59:00,Z11,Seating Section B,0.63,1181,107,237,0,3,26
2026-04-17 17:59:30,Z12,VIP Lounge,0.6,862,142,116,0,10,29
2026-04-17 18:00:00,Z01,Main Entrance,0.43,135,58,238,0,13,35
2026-04-17 18:00:30,Z02,North Gate,0.48,957,209,120,0,14,23
2026-04-17 18:01:00,Z03,South Gate,0.36,455,166,44,0,20,24
2026-04-17 18:01:30,Z04,East Gate,0.48,1122,80,231,0,18,29
2026-04-17 18:02:00,Z05,West Gate,0.91,796,166,99,0,21,24
2026-04-17 18:02:30,Z06,Food Court A,0.74,1097,192,102,0,15,29
2026-04-17 18:03:00,Z07,Food Court B,0.46,639,217,125,0,14,24
2026-04-17 18:03:30,Z08,Restroom Block 1,0.74,318,287,200,0,19,25
2026-04-17 18:04:00,Z09,Restroom Block 2,0.57,916,24,184,0,13,33
2026-04-17 18:04:30,Z10,Seating Section A,0.39,232,201,148,1,10,33
2026-04-17 18:05:00,Z11,Seating Section B,0.44,65,276,148,0,10,28
2026-04-17 18:05:30,Z12,VIP Lounge,0.78,1065,194,148,0,6,28
2026-04-17 18:06:00,Z01,Main Entrance,0.73,721,257,63,0,9,35
2026-04-17 18:06:30,Z02,North Gate,0.55,408,15,199,0,16,28
2026-04-17 18:07:00,Z03,South Gate,0.36,755,107,213,0,22,28
2026-04-17 18:07:30,Z04,East Gate,0.64,307,53,95,0,21,35
2026-04-17 18:08:00,Z05,West Gate,0.47,805,98,148,0,21,31
2026-04-17 18:08:30,Z06,Food Court A,0.74,1143,196,184,0,23,27
2026-04-17 18:09:00,Z07,Food Court B,0.7,964,113,247,0,15,35
2026-04-17 18:09:30,Z08,Restroom Block 1,0.38,1183,124,181,1,2,34
2026-04-17 18:10:00,Z09,Restroom Block 2,0.78,201,94,160,0,5,35
2026-04-17 18:10:30,Z10,Seating Section A,0.65,147,62,120,0,4,33
2026-04-17 18:11:00,Z11,Seating Section B,0.97,384,207,114,0,21,22
2026-04-17 18:11:30,Z12,VIP Lounge,0.86,974,76,48,0,8,31
2026-04-17 18:12:00,Z01,Main Entrance,0.97,419,11,58,0,12,25
2026-04-17 18:12:30,Z02,North Gate,0.69,100,132,174,0,4,25
2026-04-17 18:13:00,Z03,South Gate,0.96,493,40,198,0,23,24
2026-04-17 18:13:30,Z04,East Gate,0.45,109,275,150,0,19,25
2026-04-17 18:14:00,Z05,West Gate,0.48,1190,24,209,0,23,35
2026-04-17 18:14:30,Z06,Food Court A,0.66,994,252,159,1,21,22
2026-04-17 18:15:00,Z07,Food Court B,0.45,776,216,94,0,4,23
2026-04-17 18:15:30,Z08,Restroom Block 1,0.58,221,155,116,0,3,31
2026-04-17 18:16:00,Z09,Restroom Block 2,0.41,186,259,83,0,7,33
2026-04-17 18:16:30,Z10,Seating Section A,0.81,971,30,107,0,8,34
2026-04-17 18:17:00,Z11,Seating Section B,0.57,586,167,94,0,18,23
2026-04-17 18:17:30,Z12,VIP Lounge,0.55,140,185,28,0,21,28
2026-04-17 18:18:00,Z01,Main Entrance,0.53,1156,105,50,0,23,22
2026-04-17 18:18:30,Z02,North Gate,0.87,275,18,184,0,9,32
2026-04-17 18:19:00,Z03,South Gate,0.94,629,74,26,0,13,34
2026-04-17 18:19:30,Z04,East Gate,0.75,1032,299,57,0,4,26
2026-04-17 18:20:00,Z05,West Gate,0.53,485,252,18,0,4,30
2026-04-17 18:20:30,Z06,Food Court A,0.57,65,179,84,1,2,32
2026-04-17 18:21:00,Z07,Food Court B,0.57,932,237,27,0,3,34
2026-04-17 18:21:30,Z08,Restroom Block 1,0.4,1014,172,84,0,14,33
2026-04-17 18:22:00,Z09,Restroom Block 2,0.64,875,143,229,0,15,27
2026-04-17 18:22:30,Z10,Seating Section A,0.78,839,196,59,0,3,29
2026-04-17 18:23:00,Z11,Seating Section B,0.88,823,135,207,0,3,35
2026-04-17 18:23:30,Z12,VIP Lounge,0.88,815,169,211,0,19,31
2026-04-17 18:24:00,Z01,Main Entrance,0.43,237,277,142,0,18,31
2026-04-17 18:24:30,Z02,North Gate,0.6,1053,246,141,0,7,33
2026-04-17 18:25:00,Z03,South Gate,0.7,633,164,54,0,10,23
2026-04-17 18:25:30,Z04,East Gate,0.74,1161,141,99,0,10,23
2026-04-17 18:26:00,Z05,West Gate,0.6,970,109,225,0,21,28
2026-04-17 18:26:30,Z06,Food Court A,0.87,625,287,25,0,5,23
2026-04-17 18:27:00,Z07,Food Court B,0.62,809,155,153,0,5,28
2026-04-17 18:27:30,Z08,Restroom Block 1,0.41,508,18,23,0,21,31
2026-04-17 18:28:00,Z09,Restroom Block 2,0.8,670,155,166,0,7,32
2026-04-17 18:28:30,Z10,Seating Section A,0.41,858,239,48,0,16,26
2026-04-17 18:29:00,Z11,Seating Section B,0.67,271,270,66,0,5,25
2026-04-17 18:29:30,Z12,VIP Lounge,0.82,484,13,121,0,16,22
2026-04-17 18:30:00,Z01,Main Entrance,0.49,1073,89,42,0,17,35
2026-04-17 18:30:30,Z02,North Gate,0.92,212,72,57,0,14,34
2026-04-17 18:31:00,Z03,South Gate,0.76,54,100,67,0,7,28
2026-04-17 18:31:30,Z04,East Gate,0.48,617,49,109,0,6,31
2026-04-17 18:32:00,Z05,West Gate,0.94,598,202,147,0,12,34
2026-04-17 18:32:30,Z06,Food Court A,0.62,749,149,114,0,16,27
2026-04-17 18:33:00,Z07,Food Court B,0.61,825,246,235,0,18,35
2026-04-17 18:33:30,Z08,Restroom Block 1,0.5,65,137,208,0,20,22
2026-04-17 18:34:00,Z09,Restroom Block 2,0.43,482,119,8,0,9,29
2026-04-17 18:34:30,Z10,Seating Section A,0.65,432,83,244,0,15,28
2026-04-17 18:35:00,Z11,Seating Section B,0.78,1042,191,221,0,19,34
2026-04-17 18:35:30,Z12,VIP Lounge,0.99,1002,163,24,0,3,26
2026-04-17 18:36:00,Z01,Main Entrance,0.83,1113,293,142,0,4,29
2026-04-17 18:36:30,Z02,North Gate,0.4,937,270,64,1,24,31
2026-04-17 18:37:00,Z03,South Gate,0.87,1058,282,206,0,12,33
2026-04-17 18:37:30,Z04,East Gate,0.66,227,234,78,0,10,31
2026-04-17 18:38:00,Z05,West Gate,0.87,280,168,229,0,22,28
2026-04-17 18:38:30,Z06,Food Court A,0.84,712,150,236,0,18,22
2026-04-17 18:39:00,Z07,Food Court B,0.46,1083,139,111,0,5,24
2026-04-17 18:39:30,Z08,Restroom Block 1,0.98,1034,215,190,0,9,23
2026-04-17 18:40:00,Z09,Restroom Block 2,0.64,1170,28,183,0,21,27
2026-04-17 18:40:30,Z10,Seating Section A,0.52,299,98,143,0,18,30
2026-04-17 18:41:00,Z11,Seating Section B,0.36,1144,267,120,0,4,26
2026-04-17 18:41:30,Z12,VIP Lounge,0.82,78,42,197,0,22,29
2026-04-17 18:42:00,Z01,Main Entrance,0.61,947,107,66,0,14,34
2026-04-17 18:42:30,Z02,North Gate,0.51,1139,277,183,0,15,25
2026-04-17 18:43:00,Z03,South Gate,0.67,54,148,227,0,24,22
2026-04-17 18:43:30,Z04,East Gate,0.41,267,233,114,0,4,35
2026-04-17 18:44:00,Z05,West Gate,0.96,101,136,162,0,12,25
2026-04-17 18:44:30,Z06,Food Court A,0.42,852,246,204,0,13,29
2026-04-17 18:45:00,Z07,Food Court B,0.89,433,259,79,0,11,31
2026-04-17 18:45:30,Z08,Restroom Block 1,0.6,436,271,199,0,5,30
2026-04-17 18:46:00,Z09,Restroom Block 2,0.83,470,155,10,0,3,30
2026-04-17 18:46:30,Z10,Seating Section A,0.71,867,257,176,0,9,30
2026-04-17 18:47:00,Z11,Seating Section B,0.62,359,151,149,0,15,24
2026-04-17 18:47:30,Z12,VIP Lounge,0.85,1043,92,235,0,7,30
2026-04-17 18:48:00,Z01,Main Entrance,0.56,518,40,245,0,4,31
2026-04-17 18:48:30,Z02,North Gate,0.7,388,139,191,0,11,32
2026-04-17 18:49:00,Z03,South Gate,0.59,566,208,137,0,18,24
2026-04-17 18:49:30,Z04,East Gate,0.41,1148,244,217,0,9,25
2026-04-17 18:50:00,Z05,West Gate,0.64,106,135,129,0,14,27
2026-04-17 18:50:30,Z06,Food Court A,0.96,498,273,29,0,10,28
2026-04-17 18:51:00,Z07,Food Court B,0.93,526,237,166,0,18,23
2026-04-17 18:51:30,Z08,Restroom Block 1,0.45,637,245,203,0,15,32
2026-04-17 18:52:00,Z09,Restroom Block 2,0.74,190,282,101,0,7,30
2026-04-17 18:52:30,Z10,Seating Section A,0.51,345,129,185,0,13,25
2026-04-17 18:53:00,Z11,Seating Section B,0.88,493,50,219,0,11,35
2026-04-17 18:53:30,Z12,VIP Lounge,0.51,875,176,168,0,21,35
